action,subscription_id,subscription_created_at,organization_name,sending_tool,target_client_name,target_client_status,notes
bind_existing,sub_1S5qKQH18UpSuS1kxEiiYXSf,2025-09-10,Sammy AI,Instantly.ai,Sammy,(unchanged),"seeded 2026-05-18, sending_tool=Instantly.ai"
bind_existing,sub_1SAwcFH18UpSuS1kNKXJ3y5C,2025-09-24,Checkout Components ,Email Bison,Checkout Components,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SAwjeH18UpSuS1k9TxgAEl0,2025-09-24,Checkout Components ,Email Bison,Checkout Components,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SAwnfH18UpSuS1kKduxbSWP,2025-09-24,Checkout Components ,Email Bison,Checkout Components,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SAwtyH18UpSuS1kfVudCTQQ,2025-09-24,Checkout Components ,Email Bison,Checkout Components,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SAx44H18UpSuS1kIYZZo5kf,2025-09-24,Checkout Components ,Email Bison,Checkout Components,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SAx7zH18UpSuS1kjzlK2TmL,2025-09-24,Checkout Components ,Email Bison,Checkout Components,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SAxCMH18UpSuS1k3UpjFVI0,2025-09-24,Checkout Components ,Email Bison,Checkout Components,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SAxM0H18UpSuS1kaL3thG1a,2025-09-24,Checkout Components ,Email Bison,Checkout Components,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SAxjNH18UpSuS1ksynE58Md,2025-09-24,Checkout Components ,Email Bison,Checkout Components,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SAxprH18UpSuS1k5zsFdVI9,2025-09-24,Checkout Components ,Email Bison,Checkout Components,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SAxwcH18UpSuS1k4rO4P5sR,2025-09-24,Checkout Components ,Email Bison,Checkout Components,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SAy6FH18UpSuS1kYGMcI0Ha,2025-09-24,Checkout Components ,Email Bison,Checkout Components,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SAzcMH18UpSuS1kdTajLLnN,2025-09-24,Checkout Components ,Email Bison,Checkout Components,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SAzmHH18UpSuS1k3UaAyErs,2025-09-24,Checkout Components ,Email Bison,Checkout Components,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SAzzvH18UpSuS1kUfsbeGv1,2025-09-24,Checkout Components ,Email Bison,Checkout Components,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SB0AwH18UpSuS1kJGb5hvvJ,2025-09-24,Checkout Components ,Email Bison,Checkout Components,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SB0JVH18UpSuS1kUhGKVsmP,2025-09-24,Checkout Components ,Email Bison,Checkout Components,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SD9UjH18UpSuS1kWXs0NJWn,2025-09-30,Peak Save,Email Bison,Peaksave,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SD9ZrH18UpSuS1khvvsgN24,2025-09-30,Peak Save,Email Bison,Peaksave,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SD9f9H18UpSuS1k94rznQMd,2025-09-30,Peak Save,Email Bison,Peaksave,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SD9o6H18UpSuS1kU72aSvUZ,2025-09-30,Peak Save,Email Bison,Peaksave,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SD9wRH18UpSuS1kTt4l54eY,2025-09-30,Peak Save,Email Bison,Peaksave,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SDAnAH18UpSuS1kS36wxtp4,2025-09-30,Peak Save,Email Bison,Peaksave,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SDAufH18UpSuS1kWnxBMg7y,2025-09-30,Peak Save,Email Bison,Peaksave,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SDAzOH18UpSuS1k2t6vsDO5,2025-09-30,Peak Save,Email Bison,Peaksave,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SDB4HH18UpSuS1kjvZkwVu2,2025-09-30,Peak Save,Email Bison,Peaksave,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SDBB8H18UpSuS1k7EEhhGkn,2025-09-30,Peak Save,Email Bison,Peaksave,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SDBIuH18UpSuS1kgqC94JBr,2025-09-30,Peak Save,Email Bison,Peaksave,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SFfbNH18UpSuS1k5WdZvxSR,2025-10-07,Spout ,Email Bison,Spout,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SFfxIH18UpSuS1kOtzLlXfc,2025-10-07,Spout ,Email Bison,Spout,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SFg44H18UpSuS1k2Cfabp8c,2025-10-07,Spout ,Email Bison,Spout,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SFgBUH18UpSuS1kZRzGCZmJ,2025-10-07,Spout ,Email Bison,Spout,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SFgHvH18UpSuS1kgDaIydQr,2025-10-07,Spout ,Email Bison,Spout,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SFgOXH18UpSuS1kOIOXat4w,2025-10-07,Spout ,Email Bison,Spout,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SFgbtH18UpSuS1kzIe4hvrc,2025-10-07,Spout ,Email Bison,Spout,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SFgqhH18UpSuS1k1JctjJdJ,2025-10-07,Spout ,Email Bison,Spout,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SFi0nH18UpSuS1kweWz8hpv,2025-10-07,Spout ,Email Bison,Spout,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SFiA4H18UpSuS1kWBRbFOdR,2025-10-07,Spout ,Email Bison,Spout,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SFiKLH18UpSuS1kXTaQFqXU,2025-10-07,Spout ,Email Bison,Spout,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SFiokH18UpSuS1kqtLtaNxH,2025-10-07,Spout ,Email Bison,Spout,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SG3YUH18UpSuS1krU1EjYXF,2025-10-08,Spout ,Email Bison,Spout,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SG3h6H18UpSuS1kPgEHG5xp,2025-10-08,Spout ,Email Bison,Spout,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SG3urH18UpSuS1k06mDAsJI,2025-10-08,Spout ,Email Bison,Spout,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SG463H18UpSuS1kiabo0iRV,2025-10-08,Spout ,Email Bison,Spout,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SG4LcH18UpSuS1kaC3y8tyj,2025-10-08,Spout ,Email Bison,Spout,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SXN01H18UpSuS1kz4QTRNVG,2025-11-25,Barrena,Email Bison,Barrena,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1Ss9DWH18UpSuS1kWRzMsNDF,2026-01-21,Selery,Email Bison,Selery,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1Ss9YkH18UpSuS1kTjtfFNNS,2026-01-21,Selery,Email Bison,Selery,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1Ss9eKH18UpSuS1kKXy6vAhn,2026-01-21,Selery,Email Bison,Selery,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1Ss9kcH18UpSuS1kKUDp5VT2,2026-01-21,Selery,Email Bison,Selery,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1Ss9qtH18UpSuS1kZJHOmXjI,2026-01-21,Selery,Email Bison,Selery,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1Ss9wCH18UpSuS1kv5Wb5CrV,2026-01-21,Selery,Email Bison,Selery,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SsTGdH18UpSuS1keMrZJyCB,2026-01-22,Selery,Email Bison,Selery,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SsTf5H18UpSuS1kijRNkja1,2026-01-22,Selery,Email Bison,Selery,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SsTosH18UpSuS1kkbfVVxLy,2026-01-22,Selery,Email Bison,Selery,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SsTuYH18UpSuS1k7igylJpB,2026-01-22,Selery,Email Bison,Selery,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1SsTyYH18UpSuS1khLmoRV1q,2026-01-22,Selery,Email Bison,Selery,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1Suf8jH18UpSuS1kipeZPCKg,2026-01-28,Sammy,Instantly.ai,Sammy,(unchanged),"seeded 2026-05-18, sending_tool=Instantly.ai"
bind_existing,sub_1SufHuH18UpSuS1kPDboiPGD,2026-01-28,Sammy,Instantly.ai,Sammy,(unchanged),"seeded 2026-05-18, sending_tool=Instantly.ai"
bind_existing,sub_1SufQbH18UpSuS1kg71je1pC,2026-01-28,Sammy,Instantly.ai,Sammy,(unchanged),"seeded 2026-05-18, sending_tool=Instantly.ai"
bind_existing,sub_1SufbVH18UpSuS1kb0Gp7LA0,2026-01-28,Sammy,Instantly.ai,Sammy,(unchanged),"seeded 2026-05-18, sending_tool=Instantly.ai"
bind_existing,sub_1T04BCH18UpSuS1kvSWL9PAk,2026-02-12,Barrena,Email Bison,Barrena,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1T0VHlH18UpSuS1k8cZM3KGQ,2026-02-13,Linkgraph,Email Bison,Linkgraph,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1T0VNnH18UpSuS1kLBAvXzQQ,2026-02-13,Linkgraph,Email Bison,Linkgraph,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1T0VRcH18UpSuS1k4UWSjcq9,2026-02-13,Linkgraph,Email Bison,Linkgraph,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1T0VYCH18UpSuS1kZRMrtHTT,2026-02-13,Linkgraph,Email Bison,Linkgraph,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1T0VihH18UpSuS1kttC68fyb,2026-02-13,Search Atlas,Email Bison,Search Atlas,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1T0VnGH18UpSuS1kUMhxyMqY,2026-02-13,Search Atlas,Email Bison,Search Atlas,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1T0VtBH18UpSuS1kPEm0OX7F,2026-02-13,Search Atlas,Email Bison,Search Atlas,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1T0W0UH18UpSuS1kaat5Z7A8,2026-02-13,Search Atlas,Email Bison,Search Atlas,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1T0W7WH18UpSuS1ky9pJDfS7,2026-02-13,Search Atlas,Email Bison,Search Atlas,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1T0iBlH18UpSuS1kCuNd644D,2026-02-14,Search Atlas,Email Bison,Search Atlas,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1T0iLkH18UpSuS1kOGo6guBJ,2026-02-14,Search Atlas,Email Bison,Search Atlas,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1T0iR0H18UpSuS1k0DcHlmjD,2026-02-14,Search Atlas,Email Bison,Search Atlas,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1T0iXjH18UpSuS1kbkZIxjDE,2026-02-14,Search Atlas,Email Bison,Search Atlas,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1T0idnH18UpSuS1k2s6PU46u,2026-02-14,Search Atlas,Email Bison,Search Atlas,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1TGmLsH18UpSuS1k6V2ouBIg,2026-03-30,SPUI,Email Bison,SPUI,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1TJe7kH18UpSuS1kiENCbS04,2026-04-07,Stable Kernel Market Research,Email Bison,Stable Kernel Market Research,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1TJeHfH18UpSuS1kllQ9oVYx,2026-04-07,Stable Kernel Market Research,Email Bison,Stable Kernel Market Research,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1TJeMsH18UpSuS1kv0D8Fwaa,2026-04-07,Stable Kernel Market Research,Email Bison,Stable Kernel Market Research,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1TJeSqH18UpSuS1kFrMNIvGt,2026-04-07,Stable Kernel Market Research,Email Bison,Stable Kernel Market Research,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1TJeYEH18UpSuS1kaELYD795,2026-04-07,Stable Kernel Market Research,Email Bison,Stable Kernel Market Research,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1TJem7H18UpSuS1koay7KzYN,2026-04-07,Stable Kernel Market Research,Email Bison,Stable Kernel Market Research,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1TJes1H18UpSuS1kNal3JhBv,2026-04-07,Stable Kernel Market Research,Email Bison,Stable Kernel Market Research,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1TLqIjH18UpSuS1kMceQqkFd,2026-04-13,Charm,Email Bison,Charm,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1TLqXnH18UpSuS1k0PgPX1bv,2026-04-13,Charm,Email Bison,Charm,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1TLqjoH18UpSuS1kisKmQzH4,2026-04-13,Charm,Email Bison,Charm,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1TLqqbH18UpSuS1kUrfU4rR0,2026-04-13,Charm,Email Bison,Charm,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1TLrBLH18UpSuS1kNnq3BMYE,2026-04-13,Charm,Email Bison,Charm,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1TP8VeH18UpSuS1km8tfEEdQ,2026-04-22,stable kernel,Email Bison,Stable Kernel,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1TU9k0H18UpSuS1kghwJ10EW,2026-05-06,Stable Kernel Market Research,Email Bison,Stable Kernel Market Research,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1TU9uxH18UpSuS1kXaz5Q8DF,2026-05-06,Stable Kernel Market Research,Email Bison,Stable Kernel Market Research,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1TUA37H18UpSuS1k7h64S3UA,2026-05-06,Stable Kernel Market Research,Email Bison,Stable Kernel Market Research,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1TUACHH18UpSuS1knxDsP62h,2026-05-06,Stable Kernel Market Research,Email Bison,Stable Kernel Market Research,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1TUALvH18UpSuS1kxm2DEYMt,2026-05-06,Stable Kernel Market Research,Email Bison,Stable Kernel Market Research,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1TUAVlH18UpSuS1kJoJJfgch,2026-05-06,Stable Kernel Market Research,Email Bison,Stable Kernel Market Research,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1TUoCnH18UpSuS1kGqamQVPB,2026-05-08,Selery,Email Bison,Selery,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1TVs8IH18UpSuS1kAENAUYFb,2026-05-11,Guardare ,Email Bison,Barrena,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
new_client,sub_1TMxv0H18UpSuS1kJzoDP7c8,2026-04-16,10x PR,Instantly.ai,10x PR,client,"seeded 2026-05-18, sending_tool=Instantly.ai"
new_client,sub_1TMxq0H18UpSuS1kAWTfVozu,2026-04-16,10x PR,Instantly.ai,10x PR,client,"seeded 2026-05-18, sending_tool=Instantly.ai"
new_client,sub_1StvosH18UpSuS1k91A9SOE6,2026-01-26,397 Digital,Email Bison,397 Digital,client,"seeded 2026-05-18, sending_tool=Email Bison"
new_client,sub_1StvhwH18UpSuS1kzHEXkzP3,2026-01-26,397 Digital,Email Bison,397 Digital,client,"seeded 2026-05-18, sending_tool=Email Bison"
new_client,sub_1StvYfH18UpSuS1kScqYTRx8,2026-01-26,397 Digital,Email Bison,397 Digital,client,"seeded 2026-05-18, sending_tool=Email Bison"
new_client,sub_1StvQ9H18UpSuS1knBgZL91C,2026-01-26,397 Digital,Email Bison,397 Digital,client,"seeded 2026-05-18, sending_tool=Email Bison"
new_client,sub_1StvGrH18UpSuS1k5nSFmGTC,2026-01-26,397 Digital,Email Bison,397 Digital,client,"seeded 2026-05-18, sending_tool=Email Bison"
new_friends_and_family,sub_1R1vgtH18UpSuS1k59aT1t4z,2025-03-12,Ameristar Deployment,Smartlead.ai,Ameristar Deployment,friends_and_family,"seeded 2026-05-18, sending_tool=Smartlead.ai"
new_friends_and_family,sub_1R1vf8H18UpSuS1k37DY9JnU,2025-03-12,Ameristar Network HT,Smartlead.ai,Ameristar Network HT,friends_and_family,"seeded 2026-05-18, sending_tool=Smartlead.ai"
new_friends_and_family,sub_1R1vcxH18UpSuS1kvgxhe0Iy,2025-03-12,Ameristar Network HT,Smartlead.ai,Ameristar Network HT,friends_and_family,"seeded 2026-05-18, sending_tool=Smartlead.ai"
new_client,sub_1SudLwH18UpSuS1kAuNrgLkL,2026-01-28,Bridge,Email Bison,Bridge,client,"seeded 2026-05-18, sending_tool=Email Bison"
new_client,sub_1TPnKbH18UpSuS1k2rym5LQx,2026-04-24,Carve Comms ,Instantly.ai,Carve Comms,client,"seeded 2026-05-18, sending_tool=Instantly.ai"
new_client,sub_1TPnF5H18UpSuS1kGcU9LZrP,2026-04-24,Carve Comms ,Instantly.ai,Carve Comms,client,"seeded 2026-05-18, sending_tool=Instantly.ai"
new_client,sub_1TPn99H18UpSuS1kAen5HdJU,2026-04-24,Carve Comms ,Instantly.ai,Carve Comms,client,"seeded 2026-05-18, sending_tool=Instantly.ai"
new_client,sub_1TPmEJH18UpSuS1kr4smQaoR,2026-04-24,Carve Comms ,Instantly.ai,Carve Comms,client,"seeded 2026-05-18, sending_tool=Instantly.ai"
new_friends_and_family,sub_1QO1q9H18UpSuS1kwy6fGcPA,2024-11-22,Charm Node,Smartlead.ai,Charm Node,friends_and_family,"seeded 2026-05-18, sending_tool=Smartlead.ai"
new_friends_and_family,sub_1QO3QEH18UpSuS1kCmmsR9Hy,2024-11-22,Charm Orchestration,Smartlead.ai,Charm Orchestration,friends_and_family,"seeded 2026-05-18, sending_tool=Smartlead.ai"
new_friends_and_family,sub_1QO1s6H18UpSuS1k1qBmhDXf,2024-11-22,Charm Orchestration,Smartlead.ai,Charm Orchestration,friends_and_family,"seeded 2026-05-18, sending_tool=Smartlead.ai"
